,着  順,枠  番,馬  番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人  気,馬体重,調教師,raceId
0,1,1,2,プレフェリータ,牝3,54,戸崎圭太,1:25.5,,10.2,5,468(-4),[東]  萩原清,202105010101
1,2,2,4,ナンノコレシキ,牝3,54,横山武史,1:25.6,3/4,3.9,2,460(+4),[東]  栗田徹,202105010101
2,3,2,3,ホープケツァール,牝3,54,丸田恭介,1:26.1,3,8.1,3,462(+2),[東]  奥村武,202105010101
3,4,4,8,フクノルッカ,牝3,54,田辺裕信,1:26.3,1,2.1,1,432(0),[東]  杉浦宏昭,202105010101
4,5,6,12,シンシアハート,牝3,54,大野拓弥,1:26.5,1.1/4,13.0,6,420(-2),[東]  清水英克,202105010101
5,6,8,16,ファインヒューズ,牝3,54,内田博幸,1:26.6,1/2,16.1,7,432(-4),[東]  深山雅史,202105010101
6,7,5,10,アウリッシュ,牝3,54,三浦皇成,1:26.7,1,8.6,4,454(0),[東]  伊藤圭三,202105010101
7,8,7,13,ドナリノ,牝3,51,原優介,1:26.9,3/4,147.7,12,454(+8),[東]  高木登,202105010101
8,9,8,15,タミルナードゥ,牝3,54,杉原誠人,1:27.4,3,174.7,13,474(+14),[東]  南田美知,202105010101
9,10,1,1,キタノコンキスタ,牝3,54,嶋田純次,1:27.4,ハナ,219.6,15,462(+12),[東]  小笠倫弘,202105010101
10,11,3,6,ボンバーガール,牝3,54,武士沢友,1:28.3,5,104.8,8,498(+22),[東]  伊藤伸一,202105010101
11,12,6,11,ナイアレ,牝3,54,吉田豊,1:28.5,1.1/4,119.2,10,500(+6),[東]  柄崎孝,202105010101
12,13,5,9,グリーンシュート,牝3,54,石川裕紀,1:28.8,1.3/4,111.2,9,432(+6),[東]  高橋祥泰,202105010101
13,14,3,5,モッツアフィアート,牝3,54,津村明秀,1:29.8,6,136.6,11,434(-12),[東]  岩戸孝樹,202105010101
14,15,4,7,ベストシーズン,牝3,54,野中悠太,1:30.5,4,218.0,14,432(-2),[東]  菊川正達,202105010101
15,16,7,14,キボウノヒビキ,牝3,54,的場勇人,1:32.3,大,220.0,16,404(+26),[東]  的場均,202105010101
0,1,4,8,トゥーパンクス,牡3,56,内田博幸,1:25.5,,10.3,6,484(0),[東]  田村康仁,202105010102
1,2,6,11,タマモアンドロメダ,牡3,56,武藤雅,1:26.0,3,6.8,2,506(0),[東]  水野貴広,202105010102
2,3,2,3,ランボボーイ,牡3,54,ルメール,1:26.1,1/2,2.5,1,482(0),[東]  栗田徹,202105010102
3,4,3,6,ファインハッピー,牝3,54,三浦皇成,1:26.4,1.3/4,9.3,5,458(0),[西]  杉山晴紀,202105010102
4,5,6,12,アナマリー,牝3,54,北村宏司,1:26.5,3/4,8.6,4,460(0),[東]  古賀慎明,202105010102
5,6,4,7,ヴィントラオフ,牡3,56,石川裕紀,1:26.9,2.1/2,137.1,14,526(0),[東]  青木孝文,202105010102
6,7,3,5,ミライヘノイブキ,牡3,56,伊藤工真,1:27.2,1.1/2,22.3,8,440(0),[東]  伊藤大士,202105010102
7,8,1,2,ツカサ,セ3,56,野中悠太,1:27.5,1.3/4,74.4,12,472(0),[東]  勢司和浩,202105010102
8,9,5,9,アクアマリンブルー,牡3,56,嶋田純次,1:27.5,クビ,91.4,13,474(0),[東]  戸田博文,202105010102
9,10,7,13,シルバーファーン,牡3,56,田辺裕信,1:27.6,1/2,12.1,7,478(0),[東]  尾形和幸,202105010102
10,11,1,1,サクラトップクロス,牡3,53,小林脩斗,1:27.7,1/2,28.3,9,450(0),[東]  奥平雅士,202105010102
11,12,8,15,クリスタルローレル,牡3,56,蓑島靖典,1:28.0,2,164.8,15,502(0),[東]  高橋文雅,202105010102
12,13,7,14,ミスアクエリアス,牝3,54,吉田豊,1:28.9,5,6.8,3,452(0),[東]  石毛善彦,202105010102
13,14,8,16,パーシアン,牡3,56,江田照男,1:29.1,1.1/4,38.2,10,488(0),[東]  武藤善則,202105010102
14,15,2,4,ブレード,牝3,54,嘉藤貴行,1:29.5,2.1/2,63.8,11,492(0),[東]  佐藤吉勝,202105010102
15,16,5,10,ボンマルコ,牝3,54,杉原誠人,1:30.4,5,260.2,16,434(0),[東]  小桧山悟,202105010102
0,1,4,7,トーセンインディゴ,牡3,56,武藤雅,1:37.9,,6.9,4,468(+2),[東]  田村康仁,202105010103
1,2,6,11,トーセンチャールズ,牡3,56,三浦皇成,1:37.9,クビ,3.8,2,492(-2),[東]  本間忍,202105010103
2,3,5,10,ジュンゼロ,牡3,56,吉田豊,1:38.2,1.3/4,3.0,1,512(+10),[東]  高柳瑞樹,202105010103
3,4,7,13,ハッピーアナザー,牡3,56,大野拓弥,1:38.5,2,31.5,7,472(+10),[東]  清水英克,202105010103
4,5,2,4,モーリスシチー,牡3,56,野中悠太,1:38.8,1.1/2,9.7,5,486(+4),[東]  上原博之,202105010103
5,6,6,12,サノノヒーロー,牡3,56,津村明秀,1:39.0,1.1/4,4.8,3,478(-2),[東]  中舘英二,202105010103
